Date_YYYYMM,cpi,ppi,interest rates,Money Suply m2,Inflatio-Rate
2012.01,94.25,101.63,8.5,17046.24,7.5
2012.02,94.74,102.1,8.5,17245.67,9.14
2012.03,95.49,103.1,8.5,17705.19,8.96
2012.04,96.81,104.7,8,17825.2,10.26
2012.05,97.72,105.3,8,17849.61,10.36
2012.06,98.88,105.3,8,18428.51,9.92
2012.07,100.37,106.2,8,17752.44,9.86
2012.08,101.6,106.9,8,17927.78,10.02
2012.09,102.5,107.6,8,17831.65,9.73
2012.1,103.2,107.4,8,17703.31,9.75
2012.11,103.6,107.3,8,18315.71,9.9
2012.12,103.8,107.1,8,18501.19,10.5
2013.01,104.6,108,7.75,18417.17,10.97
2013.02,105.3,108.4,7.75,18802.9,11.13
2013.03,105.5,108.6,7.75,19353.76,10.4
2013.04,106.1,108.6,7.5,19392.05,9.58
2013.05,106.9,108.6,7.5,19608,9.38
2013.06,109.3,110.1,7.25,20092.64,10.53
2013.07,111,111.2,7.25,19455.58,10.58
2013.08,112.4,112.9,7.25,19419.35,10.61
2013.09,113.7,114.3,7.25,19492.27,10.9
2013.1,114.8,114.6,7.75,19684.02,11.17
2013.11,116.3,114.3,7.75,20029.12,12.16
2013.12,114.5,113.4,7.75,20296.91,10.26
2014.01,113.6,113.6,8,20494.4,8.6
2014.02,113.6,113.6,8,20609.95,7.8
2014.03,114.2,114.3,8,21027.79,8.2
2014.04,115.1,114.1,8,21641.33,8.48
2014.05,115.8,114.8,8,22010.91,8.33
2014.06,116.7,115.2,8,21914.68,6.77
2014.07,119.2,116.7,8,21519.89,7.38
2014.08,120.3,117.2,8,21550.06,7.02
2014.09,120.1,116.4,8,21590.15,5.6
2014.1,120.1,115.6,8,21943.8,4.6
2014.11,120.1,114.1,8,22148.19,3.26
2014.12,119.4,112.1,8,22339.79,4.2
2015.01,119.5,110.8,8,22345.91,5.2
2015.02,119.7,109.6,7.75,22814.23,5.37
2015.03,120.2,109.9,7.75,23398.32,5.26
2015.04,120.7,110.2,7.5,23841.94,4.8
2015.05,121.6,111.4,7.5,24152.11,5
2015.06,123,111.8,7.25,23945.96,5.36
2015.07,123.6,111.1,7.25,23828.94,3.69
2015.08,124.8,110,7.25,23922.52,3.74
2015.09,125.4,109.9,7.25,24014.17,4.4
2015.1,126.1,110.1,6.75,24569.23,5
2015.11,126.6,109.9,6.75,24776.89,5.41
2015.12,126.1,109.4,6.75,25149.05,5.61
2016.01,126.3,108,6.75,25002.23,5.69
2016.02,126,107.1,6.75,25862.11,5.26
2016.03,126,107.7,6.75,26641.05,4.83
2016.04,127.3,109,6.75,27359.98,5.46
2016.05,128.6,110.4,6.5,27214.59,5.76
2016.06,130.1,111.7,6.5,27331.32,5.77
2016.07,131.1,111.8,6.5,27180.2,6.07
2016.08,131.1,111.2,6.5,27540.49,5.05
2016.09,130.9,111.4,6.5,28999.71,4.39
2016.1,131.4,111.5,6.25,28307.63,4.2
2016.11,131.2,111.9,6.25,21956.76,3.63
2016.12,130.4,111.7,6.25,20883.21,3.41
2017.01,130.3,112.6,6.25,21900.25,3.17
2017.02,130.6,113,6.25,23436.58,3.65
2017.03,130.9,113.2,6.25,27740.21,3.89
2017.04,131.1,113.2,6.25,27040.53,2.99
2017.05,131.4,112.9,6.25,27155.65,2.18
2017.06,132,112.7,6.25,27956.75,1.54
2017.07,134.2,113.9,6.25,27847.26,2
2017.08,135.4,114.8,6,28245.79,3.36
2017.09,135.2,114.9,6,29711.45,3.28
2017.1,136.1,115.6,6,29244.56,3.58
2017.11,137.6,116.4,6,29316.78,4.88
2017.12,137.2,115.7,6,29891.2,5.21
2018.01,136.9,116,6,30168.68,5.07
2018.02,136.4,116.1,6,30749.05,4.44
2018.03,136.5,116.3,6,33765.41,4.28
2018.04,137.1,117.3,6,32896.09,4.58
2018.05,137.8,118.3,6,32776.7,4.87
2018.06,138.5,119.1,6.25,33053.27,4.92
2018.07,139.8,119.9,6.25,32764.78,4
2018.08,140.4,120.1,6.5,33342.16,3.69
2018.09,140.2,120.9,6.5,34175.79,3.7
2018.1,140.7,122,6.5,33762.5,3.38
2018.11,140.8,121.6,6.5,34157.44,2.33
2018.12,140.1,119.7,6.5,34088.53,2.11
2019.01,139.6,119.2,6.5,34750.74,1.97
2019.02,139.9,119.5,6.5,35917.81,2.57
2019.03,140.4,119.9,6.25,38510.63,2.86
2019.04,141.2,121.1,6.25,37289.52,2.99
2019.05,142,121.6,6,37161.95,3.05
2019.06,142.9,121.5,6,36931.37,3.18
2019.07,144.2,121.3,5.75,37219.89,3.15
2019.08,145,121.5,5.57,37422.26,3.28
2019.09,145.8,121.3,5.4,37839,3.99
2019.1,147.2,122,5.4,38090.5,4.62
2019.11,148.6,122.3,5.15,37921.62,5.54
2019.12,150.4,123,5.15,38303.22,7.35
2020.01,150.2,123.4,5.15,39454.39,7.59
2020.02,149.1,122.2,5.15,40135.98,6.58
2020.03,148.6,120.4,5.15,42769.11,5.84
2020.04,151.9,119.2,4.4,41936.92,7.22
2020.05,150.9,117.5,4.4,42747.84,6.26
2020.06,151.8,119.3,4,43329.47,6.23
2020.07,153.9,121,4,44248.56,6.73
2020.08,154.7,122,4,44427.5,6.69
2020.09,156.4,122.9,4,44873.24,7.27
2020.1,158.4,123.6,4,44485.94,7.61
2020.11,158.9,125.1,4,45110.99,6.93
2020.12,157.3,125.4,4,45744.96,4.59
2021.01,156.3,126.5,4,47298.05,4.06
2021.02,156.6,128.1,4,47701.92,5.03
2021.03,156.8,129.9,4,49651.52,5.52
2021.04,157.7,132,4,48814.94,4.23
2021.05,157.8,132.9,4,49117.08,6.3
2021.06,161.3,133.7,4,49978.8,6.26
2021.07,162.5,135,4,50299.93,5.59
2021.08,162.9,136.2,4,49778.71,5.3
2021.09,163.2,137.4,4,49969.92,4.35
2021.1,165.5,140.7,4,50085.57,4.48
2021.11,166.7,143.7,4,50601.69,4.91
2021.12,166.2,143.3,4,53176.5,5.66
2022.01,165.7,143.8,4,52160.34,6.01
2022.02,166.1,145.3,4,53212.63,6.07
2022.03,167.7,148.9,4,54955.58,6.95
2022.04,170.1,152.3,4,54765.43,7.79
2022.05,171.7,155,4,54885.36,7.04
2022.06,172.6,155.4,4.4,54390.93,7.01
2022.07,173.4,154,4.9,54983.61,6.71
2022.08,174.3,153.2,4.99,54786.16,7
2022.09,175.3,151.9,5.4,54244.8,7.41
2022.1,176.7,152.9,5.9,55224.14,6.77
2022.11,176.5,152.5,5.9,55524.41,5.88
2022.12,175.7,150.5,5.9,57269.63,5.72
2023.01,176.5,150.7,6.25,57294.2,6.52
2023.02,176.8,150.9,6.25,57797.04,6.44
2023.03,177.2,151,6.5,58750.52,5.66
2023.04,178.1,151.1,6.5,58968.17,4.7
2023.05,179.1,149.4,6.5,58997.59,4.25
2023.06,181,148.9,6.5,61023.69,4.81
2023.07,186.3,152.1,6.5,58853.61,7.44
2023.08,186.2,152.5,6.5,58288.02,6.83
2023.09,184.1,151.8,6.5,58131.05,5.02
2023.1,185.3,152.5,6.5,58653.32,4.87
2023.11,186.3,153.1,6.5,59785.26,5.55
2023.12,185.7,151.8,6.5,61174.78,5.69
2024.01,185.5,151.2,6.5,61017.6,5.1
2024.02,185.8,151.2,6.5,61560.26,5.09
2024.03,185.8,151.4,6.5,62917.23,4.85
2024.04,186.7,153,6.5,62800.1,4.83
2024.05,187.6,153.3,6.5,63100.5,4.75
