Date_YYYYMM,cspending,gfcf,gspending,IIp,interest rates,gdp growth rate
2012-01,4.2,2.51,0.73,1,8.5,1.7
2012-02,4.2,2.51,0.73,4.2,8.5,1.7
2012-03,4.2,2.51,0.73,-2.8,8.5,1.7
2012-04,4.27,2.74,0.96,-0.7,8,1.6
2012-05,4.27,2.74,0.96,5,8,1.6
2012-06,4.27,2.74,0.96,2.3,8,1.6
2012-07,4.1,2.55,0.76,1.5,8,2.5
2012-08,4.1,2.55,0.76,-0.1,8,2.5
2012-09,4.1,2.55,0.76,-1,8,2.5
2012-10,4.07,2.56,0.95,3.7,8,1.8
2012-11,4.07,2.56,0.95,-1.7,8,1.8
2012-12,4.07,2.56,0.95,7.1,8,1.8
2013-01,4.6,2.56,0.63,7.2,7.75,1.4
2013-02,4.6,2.56,0.63,1.4,7.75,1.4
2013-03,4.6,2.56,0.63,15.2,7.75,1.4
2013-04,4.5,2.82,0.9,3.3,7.5,2.1
2013-05,4.5,2.82,0.9,1,7.5,2.1
2013-06,4.5,2.82,0.9,-1,7.25,2.1
2013-07,4.4,2.62,0.91,3.2,7.25,2.4
2013-08,4.4,2.62,0.91,4.4,7.25,2.4
2013-09,4.4,2.62,0.91,6.8,7.25,2.4
2013-10,4.33,2.6,0.93,1.9,7.75,2.2
2013-11,4.33,2.6,0.93,3.7,7.75,2.2
2013-12,4.33,2.6,0.93,3.5,7.75,2.2
2014-01,4.9,2.63,0.65,4.8,8,1.8
2014-02,4.9,2.63,0.65,5.2,8,1.8
2014-03,4.9,2.63,0.65,2.9,8,1.8
2014-04,4.87,2.81,0.78,3.9,8,2.7
2014-05,4.87,2.81,0.78,4.7,8,2.7
2014-06,4.87,2.81,0.78,8.3,8,2.7
2014-07,4.73,2.7,0.93,5.4,8,2.9
2014-08,4.73,2.7,0.93,3.5,8,2.9
2014-09,4.73,2.7,0.93,4.3,8,2.9
2014-10,4.7,2.72,1.03,0.3,8,2
2014-11,4.7,2.72,1.03,7.4,8,2
2014-12,4.7,2.72,1.03,4,8,2
2015-01,5,2.65,0.84,1.8,8,2.4
2015-02,5,2.65,0.84,3,7.75,2.4
2015-03,5,2.65,0.84,2.4,7.75,2.4
2015-04,5.27,2.87,0.72,0.7,7.5,2.5
2015-05,5.27,2.87,0.72,1.8,7.5,2.5
2015-06,5.27,2.87,0.72,1,7.25,2.5
2015-07,5.07,2.79,0.97,1.3,7.25,2.7
2015-08,5.07,2.79,0.97,3.7,7.25,2.7
2015-09,5.07,2.79,0.97,2.2,7.25,2.7
2015-10,5.03,2.81,1.12,9,6.75,2.4
2015-11,5.03,2.81,1.12,0.8,6.75,2.4
2015-12,5.03,2.81,1.12,3.1,6.75,2.4
2016-01,5.43,2.92,0.91,4,6.75,3
2016-02,5.43,2.92,0.91,7.2,6.75,3
2016-03,5.43,2.92,0.91,5.2,6.75,3
2016-04,5.73,3.12,0.78,6,6.75,2.9
2016-05,5.73,3.12,0.78,7.3,6.5,2.9
2016-06,5.73,3.12,0.78,8,6.5,2.9
2016-07,5.4,3.18,1,4.5,6.5,3.2
2016-08,5.4,3.18,1,4,6.5,3.2
2016-09,5.4,3.18,1,5,6.5,3.2
2016-10,5.53,3.05,1.14,4.2,6.25,2.9
2016-11,5.53,3.05,1.14,5.1,6.25,2.9
2016-12,5.53,3.05,1.14,2.4,6.25,2.9
2017-01,6.07,3.11,0.97,3.5,6.25,2.1
2017-02,6.07,3.11,0.97,1.2,6.25,2.1
2017-03,6.07,3.11,0.97,4.4,6.25,2.1
2017-04,6,3.29,0.9,3.2,6.25,2
2017-05,6,3.29,0.9,2.9,6.25,2
2017-06,6,3.29,0.9,-0.3,6.25,2
2017-07,5.87,3.21,1.21,1,6.25,1.8
2017-08,5.87,3.21,1.21,4.8,6,1.8
2017-09,5.87,3.21,1.21,4.1,6,1.8
2017-10,5.8,3.24,1.23,1.8,6,2.2
2017-11,5.8,3.24,1.23,8.5,6,2.2
2017-12,5.8,3.24,1.23,7.3,6,2.2
2018-01,6.3,3.4,1.07,7.5,6,3
2018-02,6.3,3.4,1.07,6.9,6,3
2018-03,6.3,3.4,1.07,5.3,6,3
2018-04,6.47,3.77,0.98,4.5,6,2.5
2018-05,6.47,3.77,0.98,3.8,6,2.5
2018-06,6.47,3.77,0.98,7,6.25,2.5
2018-07,6.23,3.67,1.29,6.5,6.25,2.2
2018-08,6.23,3.67,1.29,4.8,6.5,2.2
2018-09,6.23,3.67,1.29,4.6,6.5,2.2
2018-10,6.3,3.67,1.33,8.4,6.5,2.1
2018-11,6.3,3.67,1.33,0.2,6.5,2.1
2018-12,6.3,3.67,1.33,2.5,6.5,2.1
2019-01,6.77,3.83,1.1,1.6,6.5,1.9
2019-02,6.77,3.83,1.1,0.2,6.5,1.9
2019-03,6.77,3.83,1.1,2.7,6.25,1.9
2019-04,6.83,3.97,1.06,3.2,6.25,1.7
2019-05,6.83,3.97,1.06,4.5,6,1.7
2019-06,6.83,3.97,1.06,1.3,6,1.7
2019-07,6.7,3.97,1.27,4.9,5.75,1.4
2019-08,6.7,3.97,1.27,-1.4,5.57,1.4
2019-09,6.7,3.97,1.27,-4.6,5.4,1.4
2019-10,6.67,3.63,1.4,-6.6,5.4,1.1
2019-11,6.67,3.63,1.4,2.1,5.15,1.1
2019-12,6.67,3.63,1.4,0.4,5.15,1.1
2020-01,7.2,3.77,1.16,2.2,5.15,1
2020-02,7.2,3.77,1.16,5.2,5.15,1
2020-03,7.2,3.77,1.16,-18.7,5.15,1
2020-04,6.97,3.93,1.15,-57.3,4.4,-7.8
2020-05,6.97,3.93,1.15,-33.4,4.4,-7.8
2020-06,6.97,3.93,1.15,-16.6,4,-7.8
2020-07,5.17,2.29,1.38,-10.5,4,-1.9
2020-08,5.17,2.29,1.38,-7.1,4,-1.9
2020-09,5.17,2.29,1.38,1,4,-1.9
2020-10,6.2,3.53,1.03,4.5,4,0.5
2020-11,6.2,3.53,1.03,-1.6,4,0.5
2020-12,6.2,3.53,1.03,2.2,4,0.5
2021-01,7.3,3.93,1.11,-0.6,4,1.1
2021-02,7.3,3.93,1.11,-3.2,4,1.1
2021-03,7.3,3.93,1.11,24.2,4,1.1
2021-04,7.43,4.47,1.42,99,4,7.2
2021-05,7.43,4.47,1.42,27.6,4,7.2
2021-06,7.43,4.47,1.42,13.8,4,7.2
2021-07,6.1,3.8,1.26,11.5,4,3
2021-08,6.1,3.8,1.26,13,4,3
2021-09,6.1,3.8,1.26,4.4,4,3
2021-10,7.03,4.1,1.09,4.2,4,1.7
2021-11,7.03,4.1,1.09,1,4,1.7
2021-12,7.03,4.1,1.09,1,4,1.7
2022-01,8.1,4.07,1.1,2,4,1.3
2022-02,8.1,4.07,1.1,1.2,4,1.3
2022-03,8.1,4.07,1.1,2.2,4,1.3
2022-04,7.9,4.73,1.49,6.7,4,4.3
2022-05,7.9,4.73,1.49,19.7,4,4.3
2022-06,7.9,4.73,1.49,12.6,4.4,4.3
2022-07,7.23,4.33,1.39,2.2,4.9,1.8
2022-08,7.23,4.33,1.39,-0.7,4.99,1.8
2022-09,7.23,4.33,1.39,3.3,5.4,1.8
2022-10,7.6,4.3,1.12,-4.1,5.9,1.4
2022-11,7.6,4.3,1.12,7.6,5.9,1.4
2022-12,7.6,4.3,1.12,5.1,5.9,1.4
2023-01,8.23,4.27,1.18,5.8,6.25,2.1
2023-02,8.23,4.27,1.18,6,6.25,2.1
2023-03,8.23,4.27,1.18,1.9,6.5,2.1
2023-04,8,4.9,1.69,4.6,6.5,2.7
2023-05,8,4.9,1.69,5.7,6.5,2.7
2023-06,8,4.9,1.69,4,6.5,2.7
2023-07,7.63,4.7,1.39,6.2,6.5,2.7
2023-08,7.63,4.7,1.39,10.9,6.5,2.7
2023-09,7.63,4.7,1.39,6.4,6.5,2.7
2023-10,7.8,4.8,1.28,11.9,6.5,2.9
2023-11,7.8,4.8,1.28,2.5,6.5,2.9
2023-12,7.8,4.8,1.28,4.4,6.5,2.9
